CCN,Hospital Name,Street Address,City,State,Zip Code,Telephone Number,Hospital Type,Effective Date of Certification,full_address,latitude,longitude
230029,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,(734) 246-6000,Short Term,11/16/1965,"2333 BIDDLE AVE, WYANDOTTE, MI 48192",42.2101521,-83.1473085
230034,BRONSON METHODIST HOSPITAL,601 JOHN ST,KALAMAZOO,MI,49007,(269) 341-7654,Short Term,11/16/1965,"601 JOHN ST, KALAMAZOO, MI 49007",42.2850893,-85.5810138
230045,MCLAREN GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,(517) 975-6000,Short Term,11/16/1965,"401 W GREENLAWN AVE, LANSING, MI 48910",42.7048537,-84.5571816
230055,UP HEALTH SYSTEM - MARQUETTE,850 W BARAGA AVE,MARQUETTE,MI,49855,(906) 449-3000,Short Term,11/16/1965,"850 W BARAGA AVE, MARQUETTE, MI 49855",46.5439114,-87.4083318
230056,MUNSON MEDICAL CENTER,1105 SIXTH ST,TRAVERSE CITY,MI,49684,(231) 935-5000,Short Term,11/16/1965,"1105 SIXTH ST, TRAVERSE CITY, MI 49684",44.7610619,-85.6425315
230063,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACON ST,MONROE,MI,48162,(734) 240-8400,Short Term,11/16/1965,"718 N MACON ST, MONROE, MI 48162",,
230064,ASCENSION ST MARY'S HOSPITAL,800 S WASHINGTON,SAGINAW,MI,48601,(989) 907-8000,Short Term,11/16/1965,"800 S WASHINGTON, SAGINAW, MI 48601",43.4246057,-83.9380869
230074,TRINITY HEALTH ANN ARBOR HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,(734) 712-3456,Short Term,11/16/1965,"5301 E HURON RIVER DR, ANN ARBOR, MI 48106",42.270825,-83.6968983
230080,TRINITY HEALTH MUSKEGON HOSPITAL,1500 E SHERMAN BLVD,MUSKEGON,MI,49444,(231) 672-2000,Short Term,11/16/1965,"1500 E SHERMAN BLVD, MUSKEGON, MI 49444",43.2081096,-86.2080654
230084,COREWELL HEALTH BEAUMONT TROY HOSPITAL,44201 DEQUINDRE RD,TROY,MI,48085,(248) 964-5000,Short Term,11/16/1965,"44201 DEQUINDRE RD, TROY, MI 48085",42.617582,-83.0943996
230085,ASCENSION PROVIDENCE HOSPITAL-SOUTHFIELD,16001 W 9 MILE RD,SOUTHFIELD,MI,48075,(248) 849-3000,Short Term,11/16/1965,"16001 W 9 MILE RD, SOUTHFIELD, MI 48075",42.4568795,-83.2046566
230086,COREWELL HEALTH LAKELAND HOSPITAL - ST JOSEPH,1234 NAPIER AVE,SAINT JOSEPH,MI,49085,(269) 983-8300,Short Term,11/16/1965,"1234 NAPIER AVE, SAINT JOSEPH, MI 49085",42.0888786,-86.4783664
230093,COREWELL HEALTH GRAND RAPIDS HOSPITALS,100 MICHIGAN ST NE,GRAND RAPIDS,MI,49503,(616) 486-7000,Short Term,11/16/1965,"100 MICHIGAN ST NE, GRAND RAPIDS, MI 49503",42.9692817,-85.6646398
230099,HENRY FORD MACOMB HOSPITAL,15855 19 MILE RD,CLINTON TOWNSHIP,MI,48038,(586) 263-2300,Short Term,11/16/1965,"15855 19 MILE RD, CLINTON TOWNSHIP, MI 48038",42.6148259,-82.9604023
230104,MYMICHIGAN MEDICAL CENTER SAULT,500 OSBORN BLVD,SAULT SAINTE MARI,MI,49783,(906) 635-4460,Short Term,11/16/1965,"500 OSBORN BLVD, SAULT SAINTE MARI, MI 49783",,
230107,COREWELL HEALTH DEARBORN HOSPITAL,18101 OAKWOOD BLVD,DEARBORN,MI,48124,(313) 593-7000,Short Term,11/16/1965,"18101 OAKWOOD BLVD, DEARBORN, MI 48124",42.2901126,-83.2147366
230112,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,5643 N ADRIAN HWY,ADRIAN,MI,49221,(517) 265-0900,Short Term,11/16/1965,"5643 N ADRIAN HWY, ADRIAN, MI 49221",41.9651306,-84.0043307
230120,COREWELL HEALTH LUDINGTON HOSPITAL,ONE ATKINSON DR,LUDINGTON,MI,49431,(231) 843-5200,Short Term,11/16/1965,"ONE ATKINSON DR, LUDINGTON, MI 49431",43.9568664,-86.4294116
230127,HURLEY MEDICAL CENTER,ONE HURLEY PLZ,FLINT,MI,48503,(810) 262-9000,Short Term,11/16/1965,"ONE HURLEY PLZ, FLINT, MI 48503",,
230132,PENNOCK HOSPITAL,1009 W GREEN ST,HASTINGS,MI,49058,(269) 945-3451,Short Term,11/16/1965,"1009 W GREEN ST, HASTINGS, MI 49058",42.6448152,-85.3022922
230133,MIDMICHIGAN MEDICAL CENTER - GRATIOT,300 E WARWICK DR,ALMA,MI,48801,(989) 463-1101,Short Term,11/16/1965,"300 E WARWICK DR, ALMA, MI 48801",43.3904486,-84.6625171
230138,COREWELL HEALTH FARMINGTON HILLS HOSPITAL,28050 GRAND RIVER AVE,FARMINGTON HILLS,MI,48336,(248) 471-8000,Short Term,11/16/1965,"28050 GRAND RIVER AVE, FARMINGTON HILLS, MI 48336",42.4431973,-83.3248678
230140,COREWELL HEALTH BIG RAPIDS HOSPITAL,605 OAK ST,BIG RAPIDS,MI,49307,(231) 796-8691,Short Term,11/16/1965,"605 OAK ST, BIG RAPIDS, MI 49307",43.6950303,-85.4744509
230141,MCLAREN PORT HURON,1221 PINE GROVE AVE,PORT HURON,MI,48060,(810) 987-5000,Short Term,11/16/1965,"1221 PINE GROVE AVE, PORT HURON, MI 48060",42.9878542,-82.4297825
230143,MUNSON HEALTHCARE CADILLAC HOSPITAL,400 HOBART ST,CADILLAC,MI,49601,(231) 876-7200,Short Term,11/16/1965,"400 HOBART ST, CADILLAC, MI 49601",44.2462368,-85.3904374
230151,COREWELL HEALTH TRENTON HOSPITAL,5450 FORT ST,TRENTON,MI,48183,(734) 671-3800,Short Term,11/16/1965,"5450 FORT ST, TRENTON, MI 48183",42.1162283,-83.2115665
230153,TRINITY HEALTH LIVONIA HOSPITAL,36475 FIVE MILE RD,LIVONIA,MI,48154,(734) 655-4800,Short Term,11/16/1965,"36475 FIVE MILE RD, LIVONIA, MI 48154",,
230157,COREWELL HEALTH GERBER HOSPITAL,212 S SULLIVAN ST,FREMONT,MI,49412,(231) 924-3300,Short Term,11/16/1965,"212 S SULLIVAN ST, FREMONT, MI 49412",,
230161,COREWELL HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,ZEELAND,MI,49464,(616) 772-4644,Short Term,11/16/1965,"8333 FELCH ST, ZEELAND, MI 49464",42.8216567,-85.9879559
230162,COREWELL HEALTH LAKELAND NILES HOSPITAL,31 N ST JOSEPH AVE,NILES,MI,49120,(269) 683-5510,Short Term,11/16/1965,"31 N ST JOSEPH AVE, NILES, MI 49120",41.828244,-86.2602336
230164,GARDEN CITY HOSPITAL,6245 N INKSTER RD,GARDEN CITY,MI,48135,(734) 458-3300,Short Term,11/16/1965,"6245 N INKSTER RD, GARDEN CITY, MI 48135",,
230166,SPARROW HOSPITAL,1215 E MICHIGAN AVE,LANSING,MI,48912,(517) 364-1000,Short Term,11/16/1965,"1215 E MICHIGAN AVE, LANSING, MI 48912",42.7341598,-84.5352782
230172,DMC - SINAI GRACE HOSPITAL,6071 W OUTER DR,DETROIT,MI,48235,(313) 966-3300,Short Term,11/16/1965,"6071 W OUTER DR, DETROIT, MI 48235",42.4190793,-83.1823821
230176,COREWELL HEALTH GROSSE POINTE HOSPITAL,468 CADIEUX RD,GROSSE POINTE,MI,48230,(313) 473-1000,Short Term,11/16/1965,"468 CADIEUX RD, GROSSE POINTE, MI 48230",42.3835098,-82.9138283
230182,ASCENSION PROVIDENCE ROCHESTER HOSPITAL,1101 W UNIVERSITY DR,ROCHESTER,MI,48307,(248) 652-5000,Short Term,11/16/1965,"1101 W UNIVERSITY DR, ROCHESTER, MI 48307",42.681694,-83.148342
230189,MIDMICHIGAN MEDICAL CENTER - ALPENA,1501 W CHISHOLM ST,ALPENA,MI,49707,(989) 356-7000,Short Term,11/16/1965,"1501 W CHISHOLM ST, ALPENA, MI 49707",45.0773679,-83.4492864
230191,COREWELL HEALTH UNITED HOSPITAL,615 S BOWERMAN ST,GREENVILLE,MI,48838,(616) 754-4691,Short Term,11/16/1965,"615 S BOWERMAN ST, GREENVILLE, MI 48838",,
230193,MUNSON HEALTHCARE GRAYLING HOSPITAL,1100 E MICHIGAN AVE,GRAYLING,MI,49738,(989) 348-5461,Short Term,11/16/1965,"1100 E MICHIGAN AVE, GRAYLING, MI 49738",44.6681228,-84.7067223
230194,HENRY FORD ALLEGIANCE HEALTH,205 N EAST AVE,JACKSON,MI,49201,(517) 205-4800,Short Term,11/16/1965,"205 N EAST AVE, JACKSON, MI 49201",42.2512962,-84.3938707
230206,DMC - DETROIT RECEIVING HOSPITAL,4201 ST ANTOINE,DETROIT,MI,48201,(313) 745-3000,Short Term,11/16/1965,"4201 ST ANTOINE, DETROIT, MI 48201",42.3534138,-83.0547199
230209,HILLSDALE HOSPITAL,168 S HOWELL ST,HILLSDALE,MI,49242,(517) 437-4451,Short Term,11/16/1965,"168 S HOWELL ST, HILLSDALE, MI 49242",41.9118328,-84.6327199
230214,THREE RIVERS HEALTH,701 S HEALTH PKWY,THREE RIVERS,MI,49093,(269) 278-1145,Short Term,11/16/1965,"701 S HEALTH PKWY, THREE RIVERS, MI 49093",41.9353581,-85.6479325
230219,PROMEDICA COLDWATER REGIONAL HOSPITAL,274 E CHICAGO ST,COLDWATER,MI,49036,(517) 279-5200,Short Term,11/16/1965,"274 E CHICAGO ST, COLDWATER, MI 49036",41.9376987,-84.989389
230234,MCLAREN CENTRAL MICHIGAN,1221 SOUTH DR,MOUNT PLEASANT,MI,48858,(989) 772-6700,Short Term,11/16/1965,"1221 SOUTH DR, MOUNT PLEASANT, MI 48858",43.6001636,-84.7610494
230240,DICKINSON COUNTY HEALTHCARE SYSTEM,1721 S STEPHENSON AVE,IRON MOUNTAIN,MI,49801,(906) 776-5000,Short Term,11/16/1965,"1721 S STEPHENSON AVE, IRON MOUNTAIN, MI 49801",45.8096455,-88.0445961
230248,COREWELL HEALTH ROYAL OAK HOSPITAL,3601 W 13 MILE RD,ROYAL OAK,MI,48073,(248) 898-5000,Short Term,11/16/1965,"3601 W 13 MILE RD, ROYAL OAK, MI 48073",42.5158223,-83.1904061
230251,MCLAREN OAKLAND,50 N PERRY ST,PONTIAC,MI,48342,(248) 338-5000,Short Term,11/16/1965,"50 N PERRY ST, PONTIAC, MI 48342",42.6384742,-83.291472
230252,DETROIT MEDICAL CENTER-HARPER-HUTZEL,3990 JOHN R ST,DETROIT,MI,48201,(313) 745-8040,Short Term,11/16/1965,"3990 JOHN R ST, DETROIT, MI 48201",42.3517569,-83.0564356
230263,TRINITY HEALTH OAKLAND HOSPITAL,44405 WOODWARD AVE,PONTIAC,MI,48341,(248) 858-5000,Short Term,11/16/1965,"44405 WOODWARD AVE, PONTIAC, MI 48341",42.614565,-83.2765796
230264,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,(269) 651-7824,Short Term,11/16/1965,"916 MYRTLE AVE, STURGIS, MI 49091",41.7949019,-85.4072381
230268,ASCENSION RIVER DISTRICT HOSPITAL,4100 S RIVER RD,EAST CHINA,MI,48054,(810) 329-7111,Short Term,01/01/1966,"4100 S RIVER RD, EAST CHINA, MI 48054",,
230272,UNIVERSITY OF MICHIGAN HEALTH,1500 E MEDICAL CENTER DR,ANN ARBOR,MI,48109,(734) 936-4000,Short Term,05/02/1966,"1500 E MEDICAL CENTER DR, ANN ARBOR, MI 48109",42.2821095,-83.7273205
230277,COREWELL HEALTH WAYNE HOSPITAL,33155 ANNAPOLIS ST,WAYNE,MI,48184,(734) 467-4000,Short Term,07/01/1986,"33155 ANNAPOLIS ST, WAYNE, MI 48184",42.2728924,-83.3653971
230280,OSF ST FRANCIS HOSPITAL & MEDICAL GROUP,3401 LUDINGTON ST,ESCANABA,MI,49829,(906) 786-3311,Short Term,07/01/1986,"3401 LUDINGTON ST, ESCANABA, MI 49829",45.7432187,-87.0951623
230281,ASCENSION ST JOSEPH HOSPITAL,200 HEMLOCK,TAWAS CITY,MI,48763,(989) 362-3411,Short Term,10/01/1986,"200 HEMLOCK, TAWAS CITY, MI 48763",44.2752455,-83.5096835
230286,ASCENSION BORGESS-LEE HOSPITAL,420 W HIGH ST,DOWAGIAC,MI,49047,(269) 782-1100,Short Term,03/24/1987,"420 W HIGH ST, DOWAGIAC, MI 49047",41.9834175,-86.115538
230288,HENRY FORD KINGSLEY HOSPITAL,3962 MAYFIELD RD,KINGSLEY,MI,49649,(231) 263-5221,Short Term,04/23/1987,"3962 MAYFIELD RD, KINGSLEY, MI 49649",,
230291,TRINITY HEALTH CHELSEA HOSPITAL,775 S MAIN ST,CHELSEA,MI,48118,(734) 593-6000,Short Term,06/23/1988,"775 S MAIN ST, CHELSEA, MI 48118",42.3077598,-84.0143615
230294,STRAITH HOSPITAL FOR SPECIAL SURGERY,23901 PLUMBROOKE,SOUTHFIELD,MI,48033,(248) 357-3360,Short Term,04/20/1989,"23901 PLUMBROOKE, SOUTHFIELD, MI 48033",42.4646501,-83.2486638
230299,MICHIGAN MEDICINE SURGERY CENTER,1250 E MEDICAL CENTER DRIVE,ANN ARBOR,MI,48109,(734) 936-4000,Short Term,05/18/1990,"1250 E MEDICAL CENTER DRIVE, ANN ARBOR, MI 48109",42.281489,-83.7304706
230302,REHABILITATION INSTITUTE OF MICHIGAN,261 MACK AVE,DETROIT,MI,48201,(313) 745-1203,Rehabilitation,09/24/1993,"261 MACK AVE, DETROIT, MI 48201",42.3500316,-83.0556224
230303,MCLAREN LAPEER REGION,1375 N MAIN ST,LAPEER,MI,48446,(810) 667-5500,Short Term,11/01/1994,"1375 N MAIN ST, LAPEER, MI 48446",43.0624982,-83.3214562
230304,CHILDREN'S HOSPITAL OF MICHIGAN,3901 BEAUBIEN,DETROIT,MI,48201,(313) 745-5437,Childrens,08/30/1995,"3901 BEAUBIEN, DETROIT, MI 48201",42.351889,-83.054788
230305,SELECT SPECIALTY HOSPITAL-BATTLE CREEK,1717 W EMITT,BATTLE CREEK,MI,49017,(269) 965-3206,Long Term,09/19/1997,"1717 W EMITT, BATTLE CREEK, MI 49017",,
230306,SELECT SPECIALTY HOSPITAL-SAGINAW,1447 N HARRISON,SAGINAW,MI,48602,(989) 583-4370,Long Term,09/26/1997,"1447 N HARRISON, SAGINAW, MI 48602",43.4284712,-83.9566919
230308,ASCENSION BRIGHTON CENTER FOR RECOVERY,5601 WHITMORE LAKE RD,BRIGHTON,MI,48116,(810) 227-1211,Rehabilitation,05/29/1998,"5601 WHITMORE LAKE RD, BRIGHTON, MI 48116",42.520878,-83.759224
230309,MARY FREE BED REHABILITATION HOSPITAL,235 WEALTHY ST SE,GRAND RAPIDS,MI,49503,(616) 840-8000,Rehabilitation,01/21/2000,"235 WEALTHY ST SE, GRAND RAPIDS, MI 49503",42.9570133,-85.6626243
230310,SELECT SPECIALTY HOSPITAL-FLINT,401 S BALLENGER HWY,FLINT,MI,48532,(810) 342-3000,Long Term,07/19/2002,"401 S BALLENGER HWY, FLINT, MI 48532",43.0138518,-83.7326175
230311,SELECT SPECIALTY HOSPITAL-WYANDOTTE,2333 BIDDLE AVENUE,WYANDOTTE,MI,48192,(734) 285-6400,Long Term,10/18/2002,"2333 BIDDLE AVENUE, WYANDOTTE, MI 48192",42.2101521,-83.1473085
230312,MICHIGAN SURGICAL HOSPITAL,24001 W 12 MILE RD,SOUTHFIELD,MI,48034,(248) 883-2000,Short Term,05/30/2003,"24001 W 12 MILE RD, SOUTHFIELD, MI 48034",42.501073,-83.281195
230313,SELECT SPECIALTY HOSPITAL-ANN ARBOR,5401 E HURON RIVER DR,YPSILANTI,MI,48197,(734) 712-4025,Long Term,06/20/2003,"5401 E HURON RIVER DR, YPSILANTI, MI 48197",,
230314,SELECT SPECIALTY HOSPITAL-PONTIAC,50 N PERRY STREET,PONTIAC,MI,48342,(248) 857-7380,Long Term,09/05/2003,"50 N PERRY STREET, PONTIAC, MI 48342",42.6384742,-83.291472
230315,PHYSICIANS' HOSPITAL OF MICHIGAN,7125 COBBLESTONE BLVD,CLARKSTON,MI,48348,(248) 620-5300,Short Term,12/10/2004,"7125 COBBLESTONE BLVD, CLARKSTON, MI 48348",,
230316,GENESIS MEDICAL CENTER,8303 S STATE RD,GRAND BLANC,MI,48439,(810) 606-9500,Short Term,05/13/2005,"8303 S STATE RD, GRAND BLANC, MI 48439",,
230317,SPECIALTY HOSPITAL OF MID-MICHIGAN,4005 ANDREWS HWY,MIDLAND,MI,48670,(989) 839-3000,Long Term,10/28/2005,"4005 ANDREWS HWY, MIDLAND, MI 48670",,
230318,SELECT SPECIALTY HOSPITAL-MACOMB COUNTY,215 N AVENUE,MOUNT CLEMENS,MI,48043,(586) 465-4591,Long Term,01/27/2006,"215 N AVENUE, MOUNT CLEMENS, MI 48043",42.6067352,-82.8820267
230320,LAKELAND SPECIALTY HOSPITAL AT BERRIEN CENTE,6418 DEANS HILL RD,BERRIEN CENTER,MI,49102,(269) 473-5561,Long Term,01/26/2007,"6418 DEANS HILL RD, BERRIEN CENTER, MI 49102",41.9554855,-86.3014399
230321,DOCTORS' HOSPITAL OF MICHIGAN,461 W HURON ST,PONTIAC,MI,48341,(248) 857-7200,Short Term,07/26/2008,"461 W HURON ST, PONTIAC, MI 48341",42.6356268,-83.3096318
230322,MCLAREN HEART AND VASCULAR HOSPITAL,401 W GREENLAWN AVE,LANSING,MI,48910,(517) 975-6000,Short Term,02/10/2009,"401 W GREENLAWN AVE, LANSING, MI 48910",42.7048537,-84.5571816
230323,SELECT SPECIALTY HOSPITAL-MUSKEGON,1700 OAK AVE,MUSKEGON,MI,49442,(231) 777-6202,Long Term,12/18/2009,"1700 OAK AVE, MUSKEGON, MI 49442",43.2385851,-86.2027024
230324,VIBRA HOSPITAL OF SOUTHEASTERN MICHIGAN,26400 W OUTER DR,LINCOLN PARK,MI,48146,(313) 594-6700,Long Term,04/01/2011,"26400 W OUTER DR, LINCOLN PARK, MI 48146",42.2563118,-83.1638953
230325,SPARROW SPECIALTY HOSPITAL,1215 E MICHIGAN AVE,LANSING,MI,48912,(517) 364-2720,Long Term,06/24/2011,"1215 E MICHIGAN AVE, LANSING, MI 48912",42.7341598,-84.5352782
230326,SELECT SPECIALTY HOSPITAL - NORTHERN MICHIGA,416 CONNABLE AVE,PETOSKEY,MI,49770,(231) 487-4340,Long Term,11/22/2013,"416 CONNABLE AVE, PETOSKEY, MI 49770",45.3729582,-84.970761
230327,PAM HEALTH REHABILITATION HOSPITAL OF LIVONIA,36475 FIVE MILE RD,LIVONIA,MI,48154,(734) 655-4800,Rehabilitation,01/01/2015,"36475 FIVE MILE RD, LIVONIA, MI 48154",,
230328,MCLAREN ST LUKE'S HOSPITAL,7100 DUTCH RD,MAUMEE,OH,43537,(419) 893-5911,Short Term,11/01/2021,"7100 DUTCH RD, MAUMEE, OH 43537",,
231300,MCLAREN THUMB REGION,1100 S VAN DYKE RD,BAD AXE,MI,48413,(989) 269-9521,Critical Access,03/01/2000,"1100 S VAN DYKE RD, BAD AXE, MI 48413",43.8033201,-83.0315917
231301,UP HEALTH SYSTEM - PORTAGE,900 IROQUOIS ST,HANCOCK,MI,49930,(906) 483-1000,Critical Access,04/01/2000,"900 IROQUOIS ST, HANCOCK, MI 49930",,
231303,PROMEDICA DEFIANCE REGIONAL HOSPITAL,1200 RALSTON AVE,DEFIANCE,OH,43512,(419) 783-6955,Short Term,09/25/2020,"1200 RALSTON AVE, DEFIANCE, OH 43512",41.2987708,-84.3769609
231305,CHARLEVOIX AREA HOSPITAL,14700 LAKESHORE DR,EAST JORDAN,MI,49727,(231) 536-2264,Critical Access,11/01/2000,"14700 LAKESHORE DR, EAST JORDAN, MI 49727",,
231306,MUNSON HEALTHCARE MANISTEE HOSPITAL,1465 E PARKSIDE AVE,MANISTEE,MI,49660,(231) 398-1000,Critical Access,05/01/2001,"1465 E PARKSIDE AVE, MANISTEE, MI 49660",,
231307,EATON RAPIDS MEDICAL CENTER,1500 S MAIN,EATON RAPIDS,MI,48827,(517) 663-9400,Critical Access,06/01/2001,"1500 S MAIN, EATON RAPIDS, MI 48827",42.4951639,-84.6593434
231308,OSCODA COMMUNITY HEALTH SYSTEM,5111 N LANSING,OSCODA,MI,48750,(989) 739-1421,Critical Access,08/01/2001,"5111 N LANSING, OSCODA, MI 48750",,
231309,MYMICHIGAN MEDICAL CENTER - WEST BRANCH,2431 S M-30,WEST BRANCH,MI,48661,(989) 345-3660,Critical Access,02/01/2002,"2431 S M-30, WEST BRANCH, MI 48661",44.2637561,-84.2461339
231310,MCLAREN CARO REGION,401 N HOOPER ST,CARO,MI,48723,(989) 673-3141,Critical Access,02/01/2002,"401 N HOOPER ST, CARO, MI 48723",43.4934385,-83.4087137
231311,SONOGRAPHYOMED DIAGNOSTIC,2450 S M-30,WEST BRANCH,MI,48661,(989) 345-3660,Critical Access,02/01/2002,"2450 S M-30, WEST BRANCH, MI 48661",44.2635346,-84.2461303
231312,HOUGHTON LAKE AMBULATORY CARE,9249 W LAKE CITY RD,HOUGHTON LAKE,MI,48629,(989) 366-2200,Critical Access,04/01/2002,"9249 W LAKE CITY RD, HOUGHTON LAKE, MI 48629",44.3347574,-84.7978057
231313,SPECTRUM HEALTH REED CITY HOSPITAL,300 N PATTERSON RD,REED CITY,MI,49677,(231) 832-3271,Critical Access,08/01/2002,"300 N PATTERSON RD, REED CITY, MI 49677",,
231314,ALLEGAN GENERAL HOSPITAL,555 LINN ST,ALLEGAN,MI,49010,(269) 673-8424,Critical Access,09/01/2002,"555 LINN ST, ALLEGAN, MI 49010",42.52015,-85.8562009
231315,HARBOR BEACH COMMUNITY HOSPITAL,820 SCHOCK RD,HARBOR BEACH,MI,48441,(989) 479-3201,Critical Access,10/01/2002,"820 SCHOCK RD, HARBOR BEACH, MI 48441",43.8299631,-82.6635317
231316,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,DECKERVILLE,MI,48427,(810) 376-2835,Critical Access,10/01/2002,"3559 PINE ST, DECKERVILLE, MI 48427",43.5284424,-82.7341378
231317,MACKINAC STRAITS HEALTH SYSTEM,1140 N STATE ST,SAINT IGNACE,MI,49781,(906) 643-8585,Critical Access,02/01/2003,"1140 N STATE ST, SAINT IGNACE, MI 49781",45.8906093,-84.7299782
231318,SCHOOLCRAFT MEMORIAL HOSPITAL,7870W US HWY 2,MANISTIQUE,MI,49854,(906) 341-3200,Critical Access,04/01/2003,"7870W US HWY 2, MANISTIQUE, MI 49854",45.9862641,-86.1314612
231319,OAKLAWN HOSPITAL,200 N MADISON ST,MARSHALL,MI,49068,(269) 781-4271,Critical Access,08/01/2003,"200 N MADISON ST, MARSHALL, MI 49068",42.2736727,-84.9569669
231320,PAUL OLIVER MEMORIAL HOSPITAL,224 PARK AVE,FRANKFORT,MI,49635,(231) 352-2200,Critical Access,08/01/2003,"224 PARK AVE, FRANKFORT, MI 49635",44.636832,-86.2423881
231321,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,SHERIDAN,MI,48884,(989) 291-3261,Critical Access,09/01/2003,"301 N MAIN ST, SHERIDAN, MI 48884",43.2162044,-85.0741781
231322,MARLETTE REGIONAL HOSPITAL,2770 MAIN ST,MARLETTE,MI,48453,(989) 635-4000,Critical Access,12/01/2003,"2770 MAIN ST, MARLETTE, MI 48453",43.332668,-83.0815921
231323,OTSEGO MEMORIAL HOSPITAL,825 N CENTER AVE,GAYLORD,MI,49735,(989) 731-2100,Critical Access,02/01/2004,"825 N CENTER AVE, GAYLORD, MI 49735",45.035297,-84.6755259
231324,MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,MUNISING,MI,49862,(906) 387-4110,Critical Access,02/01/2004,"1500 SAND POINT RD, MUNISING, MI 49862",46.4251595,-86.6252643
231325,ASPIRE HEALTH OF LAURIUM,205 OSCEOLA ST,LAURIUM,MI,49913,(906) 337-2111,Critical Access,04/01/2004,"205 OSCEOLA ST, LAURIUM, MI 49913",47.2389581,-88.4433639
231326,BARAGA COUNTY MEMORIAL HOSPITAL,18341 US HWY 41,L'ANSE,MI,49946,(906) 524-3300,Critical Access,05/01/2004,"18341 US HWY 41, L'ANSE, MI 49946",46.7123321,-88.4337919
231327,MIDMICHIGAN MEDICAL CENTER - GLADWIN,515 S QUARTZ,GLADWIN,MI,48624,(989) 246-6200,Critical Access,09/01/2004,"515 S QUARTZ, GLADWIN, MI 48624",,
231328,SPARROW CARSON HOSPITAL,406 E ELM ST,CARSON CITY,MI,48811,(989) 584-3131,Critical Access,12/01/2004,"406 E ELM ST, CARSON CITY, MI 48811",43.1757877,-84.8418955
231329,SCHEURER HOSPITAL,170 N CASEVILLE RD,PIGEON,MI,48755,(989) 453-2141,Critical Access,02/01/2005,"170 N CASEVILLE RD, PIGEON, MI 48755",43.8347057,-83.2784996
231330,SOUTH HAVEN COMMUNITY HOSPITAL,955 S BAILEY AVE,SOUTH HAVEN,MI,49090,(269) 637-5271,Critical Access,09/01/2005,"955 S BAILEY AVE, SOUTH HAVEN, MI 49090",42.3913076,-86.2621264
231331,IONIA COUNTY MEMORIAL HOSPITAL,479 E MAIN ST,IONIA,MI,48846,(616) 527-4200,Critical Access,11/01/2005,"479 E MAIN ST, IONIA, MI 48846",42.9829984,-85.0524372
